,wp_s_x,wp_s_z,wp_t_x,wp_t_z,total_edges,vis_edges,HHs,HTs,HLs,THs,TTs,TLs
0,18,5,18,6,99,0,0,0,0,0,0,0
1,18,5,18,7,90,0,0,0,0,0,0,0
2,18,5,18,8,90,90,90,68,25,90,60,25
3,18,5,18,9,117,117,117,117,105,117,117,99
4,18,5,18,10,81,9,9,0,0,2,0,0
5,18,5,18,11,117,57,57,30,1,26,10,0
6,18,5,9,7,108,0,0,0,0,0,0,0
7,18,5,18,12,108,0,0,0,0,0,0,0
8,18,5,18,13,99,0,0,0,0,0,0,0
9,18,5,19,1,54,32,32,27,9,19,17,5
10,18,5,19,2,54,27,27,21,0,27,21,0
11,18,5,19,3,99,0,0,0,0,0,0,0
12,18,5,19,4,117,0,0,0,0,0,0,0
13,18,5,19,5,108,0,0,0,0,0,0,0
14,18,5,9,8,126,0,0,0,0,0,0,0
15,18,5,9,9,99,0,0,0,0,0,0,0
16,18,5,9,10,90,0,0,0,0,0,0,0
17,18,5,10,6,126,0,0,0,0,0,0,0
18,18,5,10,7,117,0,0,0,0,0,0,0
19,18,5,10,8,108,0,0,0,0,0,0,0
20,18,5,10,9,81,0,0,0,0,0,0,0
21,18,5,10,10,99,0,0,0,0,0,0,0
22,18,5,10,11,117,0,0,0,0,0,0,0
23,18,5,10,12,108,96,96,96,96,84,84,80
24,18,5,10,13,108,0,0,0,0,0,0,0
25,18,5,10,14,117,55,55,23,0,36,15,0
26,18,5,11,3,99,0,0,0,0,0,0,0
27,18,5,11,4,108,0,0,0,0,0,0,0
28,18,5,11,5,81,0,0,0,0,0,0,0
29,18,5,11,6,108,0,0,0,0,0,0,0
30,18,5,11,7,90,0,0,0,0,0,0,0
31,18,5,11,8,117,0,0,0,0,0,0,0
32,18,5,11,12,117,0,0,0,0,0,0,0
33,18,5,11,13,108,0,0,0,0,0,0,0
34,18,5,11,14,99,0,0,0,0,0,0,0
35,18,5,12,3,63,0,0,0,0,0,0,0
36,18,5,12,4,99,0,0,0,0,0,0,0
37,18,5,12,5,108,0,0,0,0,0,0,0
38,18,5,12,6,99,0,0,0,0,0,0,0
39,18,5,12,7,108,0,0,0,0,0,0,0
40,18,5,12,8,108,0,0,0,0,0,0,0
41,18,5,12,9,108,0,0,0,0,0,0,0
42,18,5,12,10,99,0,0,0,0,0,0,0
43,18,5,12,11,90,0,0,0,0,0,0,0
44,18,5,12,13,117,0,0,0,0,0,0,0
45,18,5,12,14,9,0,0,0,0,0,0,0
46,18,5,13,1,81,0,0,0,0,0,0,0
47,18,5,13,2,72,0,0,0,0,0,0,0
48,18,5,13,3,72,0,0,0,0,0,0,0
49,18,5,13,4,108,0,0,0,0,0,0,0
50,18,5,13,5,126,0,0,0,0,0,0,0
51,18,5,13,6,108,0,0,0,0,0,0,0
52,18,5,13,7,126,0,0,0,0,0,0,0
53,18,5,13,8,117,0,0,0,0,0,0,0
54,18,5,13,9,108,0,0,0,0,0,0,0
55,18,5,13,10,117,0,0,0,0,0,0,0
56,18,5,13,11,90,0,0,0,0,0,0,0
57,18,5,13,12,99,0,0,0,0,0,0,0
58,18,5,13,13,54,0,0,0,0,0,0,0
59,18,5,13,14,90,0,0,0,0,0,0,0
60,18,5,14,0,108,0,0,0,0,0,0,0
61,18,5,14,1,36,0,0,0,0,0,0,0
62,18,5,14,2,117,0,0,0,0,0,0,0
63,18,5,14,3,90,0,0,0,0,0,0,0
64,18,5,14,4,81,81,81,81,48,81,81,47
65,18,5,14,5,90,0,0,0,0,0,0,0
66,18,5,14,6,108,0,0,0,0,0,0,0
67,18,5,14,7,81,0,0,0,0,0,0,0
68,18,5,14,8,99,0,0,0,0,0,0,0
69,18,5,14,9,99,60,59,38,12,41,20,1
70,18,5,14,10,117,105,105,104,104,104,104,104
71,18,5,14,11,126,0,0,0,0,0,0,0
72,18,5,14,12,108,0,0,0,0,0,0,0
73,18,5,15,1,63,0,0,0,0,0,0,0
74,18,5,15,2,99,0,0,0,0,0,0,0
75,18,5,15,3,108,1,1,0,0,1,0,0
76,18,5,15,4,90,0,0,0,0,0,0,0
77,18,5,15,5,117,0,0,0,0,0,0,0
78,18,5,15,6,90,0,0,0,0,0,0,0
79,18,5,15,7,117,0,0,0,0,0,0,0
80,18,5,15,8,72,0,0,0,0,0,0,0
81,18,5,15,9,108,0,0,0,0,0,0,0
82,18,5,15,10,99,0,0,0,0,0,0,0
83,18,5,15,11,126,14,14,0,0,4,0,0
84,18,5,15,12,81,1,1,0,0,0,0,0
85,18,5,15,13,108,0,0,0,0,0,0,0
86,18,5,15,14,90,0,0,0,0,0,0,0
87,18,5,15,15,99,0,0,0,0,0,0,0
88,18,5,15,16,72,0,0,0,0,0,0,0
89,18,5,15,17,108,0,0,0,0,0,0,0
90,18,5,15,18,117,0,0,0,0,0,0,0
91,18,5,15,19,108,0,0,0,0,0,0,0
92,18,5,15,20,90,0,0,0,0,0,0,0
93,18,5,15,21,63,0,0,0,0,0,0,0
94,18,5,16,8,108,0,0,0,0,0,0,0
95,18,5,16,9,117,0,0,0,0,0,0,0
96,18,6,18,5,99,0,0,0,0,0,0,0
97,18,6,18,7,110,83,83,47,8,55,31,3
98,18,6,18,8,110,0,0,0,0,0,0,0
99,18,6,18,9,143,0,0,0,0,0,0,0
100,18,6,18,10,99,0,0,0,0,0,0,0
101,18,6,18,11,143,0,0,0,0,0,0,0
102,18,6,9,7,132,114,114,58,0,70,22,0
103,18,6,18,12,132,0,0,0,0,0,0,0
104,18,6,18,13,121,0,0,0,0,0,0,0
105,18,6,19,1,66,0,0,0,0,0,0,0
106,18,6,19,2,66,0,0,0,0,0,0,0
107,18,6,19,3,121,0,0,0,0,0,0,0
108,18,6,19,4,143,0,0,0,0,0,0,0
109,18,6,19,5,132,0,0,0,0,0,0,0
110,18,6,9,8,154,112,112,112,71,97,94,56
111,18,6,9,9,121,88,88,88,88,51,48,42
112,18,6,9,10,110,0,0,0,0,0,0,0
113,18,6,10,6,154,118,118,118,109,91,91,84
114,18,6,10,7,143,0,0,0,0,0,0,0
115,18,6,10,8,132,94,94,90,82,48,48,45
116,18,6,10,9,99,56,56,56,56,14,10,7
117,18,6,10,10,121,2,2,0,0,0,0,0
118,18,6,10,11,143,0,0,0,0,0,0,0
119,18,6,10,12,132,0,0,0,0,0,0,0
120,18,6,10,13,132,0,0,0,0,0,0,0
121,18,6,10,14,143,0,0,0,0,0,0,0
122,18,6,11,3,121,20,20,0,0,20,0,0
123,18,6,11,4,132,44,44,27,0,39,24,0
124,18,6,11,5,99,0,0,0,0,0,0,0
125,18,6,11,6,132,0,0,0,0,0,0,0
126,18,6,11,7,110,69,69,66,64,22,21,18
127,18,6,11,8,143,13,13,13,13,0,0,0
128,18,6,11,12,143,0,0,0,0,0,0,0
129,18,6,11,13,132,0,0,0,0,0,0,0
130,18,6,11,14,121,0,0,0,0,0,0,0
131,18,6,12,3,77,0,0,0,0,0,0,0
132,18,6,12,4,121,0,0,0,0,0,0,0
133,18,6,12,5,132,14,13,9,6,9,6,4
134,18,6,12,6,121,14,14,8,4,6,5,2
135,18,6,12,7,132,29,28,23,16,9,8,5
136,18,6,12,8,132,0,0,0,0,0,0,0
137,18,6,12,9,132,0,0,0,0,0,0,0
138,18,6,12,10,121,0,0,0,0,0,0,0
139,18,6,12,11,110,110,110,110,55,110,106,53
140,18,6,12,13,143,143,143,143,139,136,136,132
141,18,6,12,14,11,0,0,0,0,0,0,0
142,18,6,13,1,99,0,0,0,0,0,0,0
143,18,6,13,2,88,0,0,0,0,0,0,0
144,18,6,13,3,88,77,77,63,51,44,23,12
145,18,6,13,4,132,0,0,0,0,0,0,0
146,18,6,13,5,154,0,0,0,0,0,0,0
147,18,6,13,6,132,95,93,72,10,59,54,7
148,18,6,13,7,154,11,11,4,0,0,0,0
149,18,6,13,8,143,0,0,0,0,0,0,0
150,18,6,13,9,132,0,0,0,0,0,0,0
151,18,6,13,10,143,0,0,0,0,0,0,0
152,18,6,13,11,110,0,0,0,0,0,0,0
153,18,6,13,12,121,9,9,0,0,4,0,0
154,18,6,13,13,66,0,0,0,0,0,0,0
155,18,6,13,14,110,0,0,0,0,0,0,0
156,18,6,14,0,132,0,0,0,0,0,0,0
157,18,6,14,1,44,0,0,0,0,0,0,0
158,18,6,14,2,143,0,0,0,0,0,0,0
159,18,6,14,3,110,0,0,0,0,0,0,0
160,18,6,14,4,99,0,0,0,0,0,0,0
161,18,6,14,5,110,0,0,0,0,0,0,0
162,18,6,14,6,132,0,0,0,0,0,0,0
163,18,6,14,7,99,0,0,0,0,0,0,0
164,18,6,14,8,121,0,0,0,0,0,0,0
165,18,6,14,9,121,0,0,0,0,0,0,0
166,18,6,14,10,143,0,0,0,0,0,0,0
167,18,6,14,11,154,0,0,0,0,0,0,0
168,18,6,14,12,132,0,0,0,0,0,0,0
169,18,6,15,1,77,0,0,0,0,0,0,0
170,18,6,15,2,121,0,0,0,0,0,0,0
171,18,6,15,3,132,0,0,0,0,0,0,0
172,18,6,15,4,110,0,0,0,0,0,0,0
173,18,6,15,5,143,0,0,0,0,0,0,0
174,18,6,15,6,110,0,0,0,0,0,0,0
